Waktu_Cek,Harga_Live,Prediksi_Besok,Trend
2026-02-26 00:56:04,68070.4375,65953.664765625,TURUN
2026-02-26 01:03:13,2026-02-27 08:00:00,68294.4375,66018.5586328125
2026-02-26 01:04:25,2026-02-27 08:00:00,68481.1953125,66168.806640625
2026-02-26 01:04:42,68481.1953125,66168.806640625,TURUN
26-02-2026,01:15:34,68603.14,66142.11,-2461.03,TURUN,27-02-2026 | 08:00 WITA
26-02-2026,01:16:40,68528.8,66116.15,-2412.65,TURUN,27-02-2026 | 08:00 WITA
2026-02-26 01:17:10,68527.9453125,66116.02515625,TURUN
08-03-2026,67257.02,49.2,67182.6
08-03-2026,67185.8,49.07,67153.47
09-03-2026,67132.55,48.96,67153.63
